OBJECTID_1,OBJECTID,DIGEST,SITUS,TAXPIN,PARID,ATRPIN,TAX_DISTR,OWNER,OWPART2,ADDRESS1,ADDRESS2,ADDRESS3,ADDRESS5,LUC,NBHD,PROP_CLASS,CLASS,TOT_APPR,TOT_ASSESS,IMPR_APPR,LAND_APPR,FUL_EX_COD,VAL_ACRES,STRUCT_FLR,STRUCT_YR,TIEBACK,TAXYEAR,STATUS_COD,LIV_UNITS,PCODE,UNIT_NUM,EXTVER,PIN,OLD_ID,STR_NUMBER,ATLPIN,GIS_LAND_P,TaxPin_joi,address_no,taxpin4,APN,PARID_1,LandUse_Description,NPU,Neighborhood_Name,PARID_no_s,SCI_Landuse,Photographs,Lot_Condition,Structure_Condition,Sidewalks,Multiple_Violations
1590,2463,2010,1111 MORELAND AVE SE,14 00100007053,14 001000070531,14 -0010-0007-053-1,5,HENRICO MK L L C, ,80 SENOIA CT,SENOIA GA 30276, , ,348,C903,C3,C,824200,329680,113080,216600, ,0,0,1994, ,2010,6,0, ,53,20101028,14 00100007053,1.40E+12,1111 MORELAND AVE SE, ,0, 14 00100007053,0,7053, ,14 001000070531,CONVENIENCE FOOD MARKET 348,W,Ormewood Park,1.40E+12,C,0, , , , 
1679,2907,2010,825 MORELAND AVE SE,14 00110007066,14 001100070662,14 -0011-0007-066-2,5,CHANG SUN MIE, ,3425 SUGAR VALLEY TRL,ALPHARETTA GA 30022, , ,348,C902,C3,C,221000,88400,44760,43640, ,0,0,1965, ,2010,6,0, ,66,20101028,14 00110007066,1.40E+12,825 MORELAND AVE SE, ,0, 14 00110007066,0,7066, ,14 001100070662,CONVENIENCE FOOD MARKET 348,W,Ormewood Park,1.40E+12,C,0, , , , 
2429,1842,2010,1401 MORELAND AVE SE,14 0009  LL064,14 0009  LL0649,14 -0009-  LL-064-9,5,VIRGINIA HOLDING LLC, ,1401 MORELAND AVE SE,ATLANTA GA 30316, , ,348,C903,C3,C,960000,384000,151040,232960, ,0,0,2001, ,2010,6,0, ,64,20101028,14 0009  LL064,140009LL064,1401 MORELAND AVE SE, ,0, 14 0009  LL064,0,L064, ,14 0009  LL0649,CONVENIENCE FOOD MARKET 348,W,Custer/McDonough/Guice,140009LL064,C,0, , , , 
2641,1895,2010,1461 MORELAND AVE SE,14 0009  LL129,14 0009  LL1290,14 -0009-  LL-129-0,5,ALDI INC (GEORGIA), ,1985 OLD UNION CHURCH RD,SALISBURY NC 28146 7917, , ,347,C903,C4,C,1553800,621520,342200,279320, ,0,0,2007, ,2010,X,0, ,129,20101028,14 0009  LL129,140009LL129,1461 MORELAND AVE SE, ,0, 14 0009  LL129,0,L129, ,14 0009  LL1290,SUPERMARKET 347,W,Custer/McDonough/Guice,140009LL129,C,0, , , , 
2645,2099,2010,1257 MORELAND AVE SE,14 00090008029,14 000900080293,14 -0009-0008-029-3,5,ALTERMAN PROPERTIES LTD, ,3101 TOWER CREEK PKWY # 200,ATLANTA GA 30339, , ,347,C903,C3,C,725000,290000,80000,210000, ,0,0,1961, ,2010,6,0, ,29,20101028,14 00090008029,1.40E+12,1257 MORELAND AVE SE, ,0, 14 00090008029,0,8029, ,14 000900080293,SUPERMARKET 347,W,Woodland Hills,1.40E+12,C,0, , , , 
3018,1585,2010,840 MC DONOUGH BLVD SE,14 00080003013,14 000800030133,14 -0008-0003-013-3,5,MARTIN WALLACE, ,410 STANDING ROCK DR,ATLANTA GA 30331, , ,334,C903,C3,C,198300,79320,19720,59600, ,0,0,1960, ,2010,6,0, ,13,20101028,14 00080003013,1.40E+12,840 MC DONOUGH BLVD SE, ,0, 14 00080003013,0,3013, ,14 000800030133,SERVICE STATION W/O BAYS 334,W,Custer/McDonough/Guice,1.40E+12,C,0, , , , 
3635,4421,2010,29 MORELAND AVE SE,14 00130004098,14 001300040986,14 -0013-0004-098-6,5,DECATUR PROPERTIES IV INC, ,1122 PACE ST FLOOR 1ST,COVINGTON GA 30014, , ,347,CA07,C3,C,869100,347640,158640,189000, ,0,0,1963, ,2010,6,0, ,98,20101028,14 00130004098,1.40E+12,29 MORELAND AVE SE, ,0, 14 00130004098,0,4098, ,14 001300040986,SUPERMARKET 347,N,Reynoldstown,1.40E+12,C,0, , , , 
4524,6138,2010,372 MORELAND AVE NE,14 00150013051,14 001500130512,14 -0015-0013-051-2,5,GRADE INC, ,6142 OLD DIXIE HWY,FOREST PARK GA 30297, , ,348,CA03,C3,C,997600,399040,290000,109040, ,0,0,1966, ,2010,6,0, ,51,20101028,14 00150013051,1.40E+12,372 MORELAND AVE NE, ,0, 14 00150013051,0,3051, ,14 001500130512,CONVENIENCE FOOD MARKET 348,N,Inman Park,1.40E+12,C,0, , , , 
4528,6142,2010,350 MORELAND AVE NE,14 00150013064,14 001500130645,14 -0015-0013-064-5,5,HENRICO MK LLC, ,80 SENOIA CT,SENOIA GA 30276, , ,348,CA03,C3,C,1523400,609360,135280,474080, ,0,0,1999, ,2010,6,0, ,64,20101028,14 00150013064,1.40E+12,350 MORELAND AVE NE, ,0, 14 00150013064,0,3064, ,14 001500130645,CONVENIENCE FOOD MARKET 348,N,Inman Park,1.40E+12,C,0, , , , 
4773,5796,2010,1079 NORTH AVE NE,14 00150003080,14 001500030803,14 -0015-0003-080-3,5,COREY WILLIAM E, ,225 COREY CENTER SE # 1,ATLANTA GA 30312, , ,348,CA03,C3,C,491000,196400,107280,89120, ,0,0,1960, ,2010,6,0, ,80,20101028,14 00150003080,1.40E+12,1079 NORTH AVE NE, ,0, 14 00150003080,0,3080, ,14 001500030803,CONVENIENCE FOOD MARKET 348,N,Poncey-Highland,1.40E+12,C,photos\39\6039\img_rpt-elessiapalmer_at_yahoo_dot_com-2011-12-12-9-31-21_1.jpg,Good,Poor,Yes,Not Visible
4833,5816,2010,1085 NORTH AVE NE,14 00150003114,14 001500031140,14 -0015-0003-114-0,5,U S ENTERPRISES INC, ,225 COREY CENTER SE STE # 1,ATLANTA GA 30312, , ,348,CA03,C3,C,756700,302680,43040,259640, ,0,0,1988, ,2010,6,0, ,114,20101028,14 00150003114,1.40E+12,1085 NORTH AVE NE, ,0, 14 00150003114,0,3114, ,14 001500031140,CONVENIENCE FOOD MARKET 348,N,Poncey-Highland,1.40E+12,C,0, , , , 
5312,6132,2010,1111 EUCLID AVE NE,14 00150013042,14 001500130421,14 -0015-0013-042-1,5,BANKS IRVING FAMILY TRUST, ,8180 SULLIVAN HILL RD,ATLANTA GA 30350, , ,347,CA03,C3,C,966000,386400,80720,305680, ,0.37,0,1960, ,2010,6,0, ,42,20101028,14 00150013042,1.40E+12,1111 EUCLID AVE NE, ,0, 14 00150013042,0,3042, ,14 001500130421,SUPERMARKET 347,N,Inman Park,1.40E+12,C,photos\83\154289\img_rpt-willc0427_at_gmail_dot_com-2012-4-6-15-53-56_1.jpg,Fair,Fair,Yes,N
