Store_Name,Longitude,Latitude,Address,Address Line #2,City,State,Zip5,Zip4,County
Baxley Meats,-82.355087,31.76483,1010 S Main St,,Baxley,GA,31513,0133,APPLING
Jet Food Store 99,-82.356079,31.764196,1040 S Main St,,Baxley,GA,31513,0133,APPLING
Baxley Food Mart,-82.346764,31.778099,105 E Parker St,,Baxley,GA,31513,0001,APPLING
B&T's Food Fresh 21,-82.346848,31.776627,106 E Parker St,,Baxley,GA,31513,0025,APPLING
DollarTree 4741,-82.34671,31.776981,106 E Parker St,Ste 5,Baxley,GA,31513,0071,APPLING
Family Dollar 351,-82.345947,31.778175,143 E Parker St,,Baxley,GA,31513,0001,APPLING
A&a Williams Family Farm NAFMNP,-82.329163,31.796171,175 Agnes Williams Ln,,Baxley,GA,31513,7408,APPLING
Corner Store,-82.351738,31.792517,18 Nails Ferry Rd,,Baxley,GA,31513,2210,APPLING
CVS PHARMACY 7294,-82.347946,31.778948,19 E Parker St,,Baxley,GA,31513,0056,APPLING
Dollar General 17761,-82.351585,31.841541,24 Spring Branch Church Rd,,Baxley,GA,31513,1101,APPLING
Express Stop,-82.356766,31.763027,31 Douglas Dr,Ste 1,Baxley,GA,31513,0171,APPLING
Seguras Taqueria & Tienda,-82.34761,31.778593,40 N Comas St,,Baxley,GA,31513,0041,APPLING
Country Convenience/Petro Express,-82.340584,31.776354,493 E Parker St,,Baxley,GA,31513,0019,APPLING
Joe's Qwik Stop,-82.357712,31.777758,495 Bay St,,Baxley,GA,31513,0420,APPLING
Bellsmit Foodmart,-82.356644,31.781494,520 W Parker St,Ste B,Baxley,GA,31513,0684,APPLING
Discount Corner,-82.339531,31.775486,554 E Parker St,,Baxley,GA,31513,0026,APPLING
Flash Foods LLC 274105,-82.352081,31.769966,601 S Main St,,Baxley,GA,31513,0160,APPLING
DOLLAR GENERAL 10944,-82.337868,31.775497,663 E Parker St,,Baxley,GA,31513,0022,APPLING
Po-jo's Country Store 6,-82.356316,31.872431,6914 Hatch Pkwy N,,Baxley,GA,31513,2104,APPLING
3-way Corner Store,-82.351692,31.788586,751 N Boulevard,,Baxley,GA,31513,0587,APPLING
Dollar General 22525,-82.353287,31.767876,758 S Main Street,,Baxley,GA,31513,,APPLING
Circle F Meats Inc.,-82.362083,31.783083,866 W Parker St,,Baxley,GA,31513,0630,APPLING
DOLLAR GENERAL 14564,-82.480263,31.824825,9648 Golden Isle W,,Baxley,GA,31513,8044,APPLING
Murphy USA 7850,-82.363289,31.783506,978 W Parker St,,Baxley,GA,31513,0653,APPLING
Walmart Supercenter 5392,-82.365044,31.784128,980 W Parker St,,Baxley,GA,31513,0653,APPLING
Graham County Boy Mini Mart,-82.504974,31.833057,9834 Golden Isle W,,Baxley,GA,31513,8020,APPLING
Parker's Surrency 208,-82.197334,31.725538,9674 Golden Isles E.,,Surrency,GA,31563,,APPLING
Dollar General 20188,-82.197121,31.725464,9690 Golden Isles East,,Surrency,GA,31563,,APPLING
Dollar General 24601,-82.734245,31.276892,17 Minchew Rd,,Axson,GA,31624,6220,ATKINSON
Sunny Food Mart,-82.733971,31.2763,7150 Atkinson Blvd E,,Axson,GA,31624,7009,ATKINSON
Flash Foods LLC 27449,-82.85437,31.298031,105 Albany Ave W,,Pearson,GA,31642,7762,ATKINSON
Pearson Stop & Shop,-82.851662,31.303013,11 Pine Ave,,Pearson,GA,31642,7460,ATKINSON
Old Butcher Shop,-82.846703,31.316071,1307 US Highway 441 N,,Pearson,GA,31642,7345,ATKINSON
Dollar General 1766,-82.857544,31.2987,290 Albany Ave W,,Pearson,GA,31642,7236,ATKINSON
El Paisa Mexican Store,-82.853386,31.297474,33 Railroad Ave W,,Pearson,GA,31642,7712,ATKINSON
Rising Sun Farms Llc,-82.865356,31.375641,371 Wesley Harrell Ln,,Pearson,GA,31642,3256,ATKINSON
Dulceland Party Rentals,-82.850578,31.305532,536 Main St N,,Pearson,GA,31642,7545,ATKINSON
1st Choice,-82.849998,31.306005,578 Main St N,,Pearson,GA,31642,7545,ATKINSON
Dollar General 30617,-82.84922,31.306519,626 Main St N,,Pearson,GA,31642,7549,ATKINSON
Family Dollar 8737,-82.850044,31.307171,652 Main St N,,Pearson,GA,31642,7549,ATKINSON
Supermercado Tamaulipas Market,-83.044937,31.339621,102 Fleetwood Ave E,,Willacoochee,GA,31650,2728,ATKINSON
Willacoochee Market,-83.046974,31.34086,22 Main St,,Willacoochee,GA,31650,0000,ATKINSON
DOLLAR GENERAL 4895,-83.041893,31.339293,290 Main St E,,Willacoochee,GA,31650,2528,ATKINSON
Onetrip Of Willacoochee 004,-83.040085,31.339224,405 Main St E,,Willacoochee,GA,31650,2125,ATKINSON
DOLLAR GENERAL 3117,-82.463463,31.529303,1015 S Pierce St,,Alma,GA,31510,3715,BACON
Jays Iga,-82.462761,31.530235,1022 S Pierce St,,Alma,GA,31510,3716,BACON
Food Lion 2845,-82.462997,31.526476,1108 S Pierce St,,Alma,GA,31510,3718,BACON
Dollar General 25925,-82.41832,31.544971,1222 GA Hwy 32 E,,Alma,GA,31510,,BACON
Rockingham General Store,-82.417366,31.545568,1230 GA Highway 32 E,,Alma,GA,31510,7014,BACON
Ch Farm And Meats Llc,-82.410263,31.544924,1308 GA Highway 32 E,,Alma,GA,31510,7008,BACON
Dollar General 24661,-82.461845,31.588694,1845 US Highway 1 N,,Alma,GA,31510,6609,BACON
Road Runners Truck Stop,-82.525108,31.543749,2021 GA Highway 32 W,,Alma,GA,31510,4366,BACON
Forks 1 & 23,-82.461525,31.628366,2356 US Highway 1 N,,Alma,GA,31510,6140,BACON
Flash Foods LLC 274199,-82.462196,31.538765,402 S Pierce St,,Alma,GA,31510,3200,BACON
East Side Grocery,-82.456375,31.538029,503 E 16th St,,Alma,GA,31510,3013,BACON
Dollar General 22394,-82.526115,31.540125,738 Teakwood Rd,,Alma,GA,31510,4314,BACON
El Cheapo,-82.462234,31.548088,902 N Pierce St,,Alma,GA,31510,1709,BACON
Family Dollar 700,-82.462959,31.535334,902 S Pierce St,,Alma,GA,31510,3527,BACON
Tienda El Poblano Llc,-82.46376,31.534096,917 S Pierce St,,Alma,GA,31510,3528,BACON
Flash Food LLC 27429,-82.46347,31.532688,938 S Pierce St,,Alma,GA,31510,3527,BACON
DOLLAR GENERAL 8185,-84.347549,31.313461,100 S Highway 91,,NEWTON,GA,39870,,BAKER
Michael's Market,-84.34819,31.313183,169 GA Hwy 91 SW,,Newton,GA,39870,8221,BAKER
